time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment
2023.10.31 12:45:00,2023.11.01 16:29:26,BUY,14799.68,14684.06,14915.30,14915.73,1.0037,0.9951,0.3594,BRKRT,2,9,1,BRKRT_L
2023.11.01 17:45:00,2023.11.02 11:20:00,BUY,14945.28,14827.10,15063.46,15063.54,1.0007,0.9989,0.4362,BRKRT,3,14,4,BRKRT_L
2023.11.02 12:00:00,2023.11.02 17:35:59,BUY,15110.88,15034.06,15187.70,15188.13,1.0056,0.9926,0.0202,BRKRT,4,9,1,BRKRT_L
2023.11.07 17:45:00,2023.11.08 08:53:07,BUY,15185.78,15085.23,15286.33,15084.63,-1.0060,0.1238,0.9960,BRKRT,2,14,4,BRKRT_L
2023.11.08 16:30:00,2023.11.08 19:07:22,BUY,15250.98,15176.52,15325.44,15175.93,-1.0079,0.5499,0.9944,BRKRT,3,13,4,BRKRT_L
2023.11.09 12:45:00,2023.11.10 13:14:26,BUY,15310.98,15227.47,15394.49,15226.63,-1.0101,0.6820,0.9981,BRKRT,4,9,1,BRKRT_L
2023.11.10 17:45:00,2023.11.10 18:51:43,SELL,15178.13,15256.10,15100.16,15256.68,-1.0074,0.0442,0.9946,BRKRT,5,14,4,BRKRT_S
2023.11.14 11:00:00,2023.11.14 15:30:40,BUY,15397.48,15306.29,15488.67,15488.77,1.0011,0.9940,0.1486,BRKRT,2,8,1,BRKRT_L
2023.11.14 18:15:00,2023.11.15 13:36:18,BUY,15624.68,15519.36,15730.00,15730.93,1.0088,0.9993,0.2350,BRKRT,2,15,4,BRKRT_L
2023.11.16 11:00:00,2023.11.17 11:54:36,BUY,15829.38,15746.19,15912.57,15912.73,1.0019,0.9899,0.5836,BRKRT,4,8,1,BRKRT_L
2023.11.17 12:45:00,2023.11.20 14:43:30,BUY,15945.28,15865.34,16025.22,15864.53,-1.0102,0.2083,0.9977,BRKRT,5,9,1,BRKRT_L
2023.11.22 10:45:00,2023.11.22 15:46:21,BUY,15958.68,15914.52,16002.84,16003.33,1.0110,0.9884,0.4653,BRKRT,3,7,1,BRKRT_L
2023.11.24 18:15:00,2023.11.27 07:10:54,BUY,16043.18,15998.20,16088.16,15997.83,-1.0083,0.1701,0.9971,BRKRT,5,15,4,BRKRT_L
2023.11.28 18:15:00,2023.11.29 10:02:43,BUY,15993.68,15947.93,16039.43,16040.23,1.0175,0.9978,0.6393,BRKRT,2,15,4,BRKRT_L
2023.11.29 10:45:00,2023.11.30 07:17:56,BUY,16111.48,15999.66,16223.30,16226.43,1.0280,0.9944,0.0943,BRKRT,3,7,1,BRKRT_L
2023.12.01 11:45:00,2023.12.01 16:27:35,BUY,16358.78,16293.10,16424.46,16292.31,-1.0121,0.0678,0.9912,BRKRT,5,8,1,BRKRT_L
2023.12.01 18:45:00,2023.12.05 17:00:43,BUY,16411.78,16297.41,16526.15,16526.23,1.0007,0.9982,0.1517,BRKRT,5,15,4,BRKRT_L
2023.12.05 17:45:00,2023.12.06 07:26:41,BUY,16534.78,16460.42,16609.14,16609.73,1.0079,0.9944,0.1123,BRKRT,2,14,4,BRKRT_L
2023.12.06 17:00:00,2023.12.06 17:12:53,BUY,16674.98,16630.64,16719.32,16719.43,1.0026,0.9800,0.0801,BRKRT,3,14,4,BRKRT_L
2023.12.08 17:15:00,2023.12.12 07:38:54,BUY,16765.28,16664.34,16866.22,16866.43,1.0021,0.9972,0.2928,BRKRT,5,14,4,BRKRT_L
2023.12.13 18:45:01,2023.12.13 21:04:03,SELL,16771.13,16817.70,16724.56,16817.78,-1.0017,0.4005,0.9995,BRKRT,3,15,4,BRKRT_S
2023.12.14 12:00:00,2023.12.14 16:40:00,BUY,16907.28,16808.24,17006.32,16807.63,-1.0062,0.3468,0.9961,BRKRT,4,9,1,BRKRT_L
2023.12.14 17:15:00,2023.12.15 10:32:42,SELL,16710.13,16873.40,16546.86,16874.08,-1.0042,0.1436,0.9980,BRKRT,4,14,4,BRKRT_S
2023.12.15 11:45:00,2023.12.15 13:37:40,BUY,16877.08,16813.77,16940.39,16813.53,-1.0038,0.4257,0.9880,BRKRT,5,8,1,BRKRT_L
2023.12.18 10:30:00,2023.12.18 11:26:19,SELL,16696.53,16763.72,16629.34,16764.08,-1.0054,0.0365,0.9905,BRKRT,1,7,1,BRKRT_S
2023.12.19 17:30:00,2023.12.20 07:15:17,BUY,16764.38,16702.93,16825.83,16825.83,1.0000,0.9984,0.1717,BRKRT,2,14,4,BRKRT_L
2023.12.28 12:45:01,2023.12.29 15:26:48,SELL,16729.53,16788.47,16670.59,16788.78,-1.0052,0.4352,0.9882,BRKRT,4,9,1,BRKRT_S
2024.01.02 10:45:00,2024.01.02 13:17:08,BUY,16953.58,16807.03,17100.13,16807.03,-1.0000,0.2010,0.9932,BRKRT,2,7,1,BRKRT_L
2024.01.03 12:30:00,2024.01.03 16:45:00,SELL,16647.33,16759.62,16535.04,16533.88,1.0104,0.9979,0.4858,BRKRT,3,9,1,BRKRT_S
2024.01.05 12:45:00,2024.01.05 16:50:28,SELL,16469.43,16591.32,16347.54,16591.98,-1.0055,0.1432,0.9972,BRKRT,5,9,1,BRKRT_S
2024.01.08 17:00:00,2024.01.09 15:32:09,BUY,16715.98,16624.07,16807.89,16623.83,-1.0026,0.8449,0.9918,BRKRT,1,14,4,BRKRT_L
2024.01.11 17:00:00,2024.01.11 17:49:16,SELL,16684.33,16800.87,16567.79,16566.88,1.0078,0.9992,0.0124,BRKRT,4,14,4,BRKRT_S
2024.01.11 18:45:00,2024.01.12 04:14:07,SELL,16544.83,16658.80,16430.86,16659.58,-1.0069,0.0215,0.9981,BRKRT,4,15,4,BRKRT_S
2024.01.12 11:15:00,2024.01.12 13:48:14,BUY,16722.78,16632.17,16813.39,16632.06,-1.0012,0.0160,0.9972,BRKRT,5,8,1,BRKRT_L
2024.01.15 12:15:00,2024.01.16 05:37:55,SELL,16663.73,16761.84,16565.62,16564.88,1.0075,0.9973,0.2400,BRKRT,1,9,1,BRKRT_S
2024.01.16 12:15:00,2024.01.17 09:16:01,SELL,16517.53,16641.13,16393.93,16393.88,1.0004,0.9923,0.6193,BRKRT,2,9,1,BRKRT_S
2024.01.17 12:30:00,2024.01.18 11:40:24,SELL,16406.33,16495.79,16316.87,16495.99,-1.0023,0.5830,0.9991,BRKRT,3,9,1,BRKRT_S
2024.01.18 18:30:00,2024.01.19 09:19:33,BUY,16561.88,16479.53,16644.23,16644.83,1.0073,0.9951,0.4463,BRKRT,4,15,4,BRKRT_L
2024.01.19 16:45:00,2024.01.19 20:29:48,SELL,16528.83,16607.26,16450.40,16607.38,-1.0015,0.1332,0.9888,BRKRT,5,13,4,BRKRT_S
2024.01.24 11:45:00,2024.01.24 15:31:41,BUY,16806.38,16720.86,16891.90,16892.83,1.0109,0.9992,0.1818,BRKRT,3,8,1,BRKRT_L
2024.01.29 18:45:00,2024.01.29 22:25:47,BUY,16958.58,16905.46,17011.70,17012.03,1.0062,0.9874,0.4019,BRKRT,1,15,4,BRKRT_L
2024.01.31 18:00:00,2024.01.31 22:03:16,SELL,16902.93,16973.22,16832.64,16832.48,1.0023,0.9881,0.5058,BRKRT,3,15,4,BRKRT_S
2024.02.06 17:30:00,2024.02.07 18:01:20,BUY,17017.68,16929.13,17106.23,16928.33,-1.0090,0.6838,0.9977,BRKRT,2,14,4,BRKRT_L
2024.02.09 17:00:00,2024.02.09 21:44:55,SELL,16909.73,16976.30,16843.16,16977.28,-1.0147,0.4724,0.9997,BRKRT,5,14,4,BRKRT_S
2024.02.12 11:15:00,2024.02.13 11:08:50,BUY,16997.38,16932.26,17062.50,16931.73,-1.0081,0.8208,0.9928,BRKRT,1,8,1,BRKRT_L
2024.02.13 17:15:00,2024.02.14 13:51:05,SELL,16840.83,16948.37,16733.29,16948.93,-1.0052,0.4598,0.9989,BRKRT,2,14,4,BRKRT_S
2024.02.15 11:45:00,2024.02.16 09:57:02,BUY,17066.48,16990.27,17142.69,17143.33,1.0084,0.9953,0.7880,BRKRT,4,8,1,BRKRT_L
2024.02.16 11:00:00,2024.02.16 16:34:27,BUY,17161.38,17109.83,17212.93,17109.83,-1.0000,0.8138,0.9979,BRKRT,5,8,1,BRKRT_L
2024.02.19 12:30:00,2024.02.21 12:05:38,SELL,17062.03,17124.46,16999.60,17125.38,-1.0148,0.5518,0.9987,BRKRT,1,9,1,BRKRT_S
2024.02.22 10:30:00,2024.02.27 11:25:07,BUY,17378.58,17251.86,17505.30,17505.53,1.0018,0.9939,0.7240,BRKRT,4,7,1,BRKRT_L
2024.02.29 11:00:00,2024.03.01 09:48:17,BUY,17710.58,17607.82,17813.34,17814.03,1.0067,0.9969,0.5698,BRKRT,4,8,1,BRKRT_L
2024.03.01 11:15:00,2024.03.01 16:54:53,BUY,17783.58,17711.04,17856.12,17711.03,-1.0002,0.3371,0.9864,BRKRT,5,8,1,BRKRT_L
2024.03.04 17:15:00,2024.03.05 17:00:31,SELL,17705.23,17760.87,17649.59,17761.78,-1.0163,0.8833,0.9983,BRKRT,1,14,4,BRKRT_S
2024.03.07 17:30:00,2024.03.08 19:57:00,BUY,17877.78,17793.23,17962.33,17793.23,-1.0000,0.5695,0.9882,BRKRT,4,14,4,BRKRT_L
2024.03.11 12:15:00,2024.03.11 20:01:36,SELL,17703.73,17793.87,17613.59,17794.30,-1.0047,0.1714,0.9966,BRKRT,1,9,1,BRKRT_S
2024.03.12 18:45:00,2024.03.15 15:04:54,BUY,17973.28,17859.46,18087.10,18087.13,1.0003,0.9915,0.5539,BRKRT,2,15,4,BRKRT_L
2024.03.18 17:45:00,2024.03.19 13:26:01,SELL,17954.13,18046.02,17862.24,18046.18,-1.0018,0.2519,0.9909,BRKRT,1,14,4,BRKRT_S
2024.03.22 17:45:00,2024.03.25 17:04:10,BUY,18254.88,18196.04,18313.72,18314.63,1.0155,0.9985,0.3612,BRKRT,5,14,4,BRKRT_L
2024.03.27 17:30:00,2024.04.02 10:10:03,BUY,18551.68,18486.70,18616.66,18617.03,1.0057,0.9903,0.4702,BRKRT,3,14,4,BRKRT_L
2024.04.02 16:30:00,2024.04.04 21:58:36,SELL,18387.53,18517.47,18257.59,18257.44,1.0011,0.9981,0.7438,BRKRT,2,13,4,BRKRT_S
2024.04.08 11:15:00,2024.04.09 12:09:59,BUY,18334.48,18235.80,18433.16,18234.93,-1.0088,0.5214,0.9987,BRKRT,1,8,1,BRKRT_L
2024.04.12 10:45:01,2024.04.12 13:52:15,BUY,18190.38,18129.07,18251.69,18128.33,-1.0121,0.4641,0.9958,BRKRT,5,7,1,BRKRT_L
2024.04.12 17:15:00,2024.04.15 15:08:42,SELL,17997.83,18182.52,17813.14,18183.08,-1.0031,0.5926,0.9976,BRKRT,5,14,4,BRKRT_S
2024.04.16 18:00:00,2024.04.17 12:50:37,SELL,17782.73,17932.93,17632.53,17933.25,-1.0021,0.0230,0.9981,BRKRT,2,15,4,BRKRT_S
2024.04.22 11:30:00,2024.04.22 13:06:06,BUY,17838.68,17766.94,17910.42,17910.63,1.0029,0.9889,0.2446,BRKRT,1,8,1,BRKRT_L
2024.04.23 17:45:00,2024.04.24 03:29:21,BUY,18158.38,18075.27,18241.49,18241.93,1.0053,0.9752,0.0788,BRKRT,2,14,4,BRKRT_L
2024.04.25 12:00:00,2024.04.25 15:53:58,SELL,18041.73,18141.33,17942.13,17941.78,1.0035,0.9935,0.1943,BRKRT,4,9,1,BRKRT_S
2024.04.25 17:00:00,2024.04.25 23:01:40,SELL,17860.83,18021.77,17699.89,18021.79,-1.0001,0.1246,0.9979,BRKRT,4,14,4,BRKRT_S
2024.04.26 17:15:00,2024.04.30 11:04:40,BUY,18212.38,18105.33,18319.43,18105.33,-1.0000,0.7104,0.9907,BRKRT,5,14,4,BRKRT_L
2024.04.30 11:45:00,2024.04.30 18:05:59,SELL,18084.33,18158.90,18009.76,18009.38,1.0051,0.9917,0.5156,BRKRT,2,8,1,BRKRT_S
2024.05.06 12:15:00,2024.05.06 13:08:15,BUY,18122.18,18060.12,18184.24,18184.63,1.0062,0.9901,0.0411,BRKRT,1,9,1,BRKRT_L
2024.05.07 16:30:00,2024.05.08 03:16:07,BUY,18407.98,18319.37,18496.59,18496.93,1.0039,0.9982,0.3899,BRKRT,2,13,4,BRKRT_L
2024.05.08 11:15:00,2024.05.08 15:37:01,BUY,18541.48,18467.26,18615.70,18467.25,-1.0001,0.5113,0.9989,BRKRT,3,8,1,BRKRT_L
2024.05.10 11:00:00,2024.05.13 11:59:34,BUY,18824.18,18756.42,18891.94,18755.73,-1.0101,0.6560,0.9954,BRKRT,5,8,1,BRKRT_L
2024.05.16 16:45:00,2024.05.17 10:33:49,SELL,18757.83,18840.12,18675.54,18675.38,1.0020,0.9898,0.2157,BRKRT,4,13,4,BRKRT_S
2024.05.21 11:45:00,2024.05.21 22:13:12,SELL,18687.63,18755.86,18619.40,18756.68,-1.0120,0.6222,0.9974,BRKRT,2,8,1,BRKRT_S
2024.05.27 10:30:00,2024.05.28 06:29:55,BUY,18742.18,18664.62,18819.74,18819.93,1.0024,0.9959,0.4197,BRKRT,1,7,1,BRKRT_L
2024.05.28 11:45:00,2024.05.28 13:28:23,BUY,18869.28,18776.93,18961.63,18776.73,-1.0022,0.0698,0.9913,BRKRT,2,8,1,BRKRT_L
2024.05.28 17:15:00,2024.05.29 12:35:58,SELL,18661.73,18756.87,18566.59,18564.68,1.0200,0.9885,0.5523,BRKRT,2,14,4,BRKRT_S
2024.06.04 11:15:00,2024.06.04 12:15:43,SELL,18515.63,18622.06,18409.20,18409.18,1.0002,0.9908,0.1273,BRKRT,2,8,1,BRKRT_S
2024.06.06 10:30:00,2024.06.06 15:35:37,BUY,18737.48,18644.40,18830.56,18644.40,-1.0000,0.6301,0.9963,BRKRT,4,7,1,BRKRT_L
2024.06.07 11:30:00,2024.06.07 11:55:57,SELL,18582.63,18646.00,18519.26,18518.98,1.0044,0.9886,0.0164,BRKRT,5,8,1,BRKRT_S
2024.06.12 18:30:00,2024.06.13 10:56:44,BUY,18657.88,18551.16,18764.60,18550.78,-1.0035,0.0703,0.9942,BRKRT,3,15,4,BRKRT_L
2024.06.13 17:30:00,2024.06.14 11:03:48,SELL,18316.33,18439.44,18193.22,18192.58,1.0052,0.9987,0.3326,BRKRT,4,14,4,BRKRT_S
2024.06.14 12:45:00,2024.06.24 16:48:39,SELL,18084.83,18313.35,17856.31,18313.49,-1.0006,0.5404,0.9988,BRKRT,5,9,1,BRKRT_S
2024.06.25 10:30:00,2024.06.26 04:57:20,SELL,18125.23,18242.47,18007.99,18243.08,-1.0052,0.3450,0.9966,BRKRT,2,7,1,BRKRT_S
2024.06.26 10:45:00,2024.06.26 12:50:15,BUY,18365.28,18270.90,18459.66,18270.56,-1.0036,0.0901,0.9943,BRKRT,3,7,1,BRKRT_L
2024.06.27 12:00:00,2024.06.28 09:15:56,BUY,18189.88,18095.01,18284.75,18284.83,1.0008,0.9966,0.4569,BRKRT,4,9,1,BRKRT_L
2024.06.28 12:30:00,2024.06.28 15:33:02,BUY,18330.38,18234.46,18426.30,18233.63,-1.0086,0.3487,0.9982,BRKRT,5,9,1,BRKRT_L
2024.07.02 10:30:00,2024.07.02 15:52:01,SELL,18179.33,18311.85,18046.81,18046.48,1.0025,0.9949,0.1400,BRKRT,2,7,1,BRKRT_S
2024.07.03 11:45:00,2024.07.03 18:18:37,BUY,18291.78,18180.03,18403.53,18403.73,1.0018,0.9928,0.1051,BRKRT,3,8,1,BRKRT_L
2024.07.04 10:30:00,2024.07.05 10:00:38,BUY,18451.98,18383.79,18520.17,18520.29,1.0017,0.9978,0.5360,BRKRT,4,7,1,BRKRT_L
2024.07.05 10:45:00,2024.07.05 16:52:35,BUY,18592.58,18484.06,18701.10,18484.03,-1.0003,0.7118,0.9910,BRKRT,5,7,1,BRKRT_L
2024.07.08 12:30:00,2024.07.08 19:09:53,BUY,18599.18,18464.37,18733.99,18463.63,-1.0055,0.0256,0.9981,BRKRT,1,9,1,BRKRT_L
2024.07.09 11:30:00,2024.07.09 15:23:43,SELL,18421.53,18497.98,18345.08,18345.03,1.0007,0.9895,0.7789,BRKRT,2,8,1,BRKRT_S
2024.07.09 18:00:00,2024.07.10 12:22:58,SELL,18236.53,18357.69,18115.37,18358.68,-1.0082,0.1238,0.9999,BRKRT,2,15,4,BRKRT_S
2024.07.12 17:15:00,2024.07.15 19:45:38,BUY,18726.23,18565.89,18886.57,18565.77,-1.0008,0.3954,0.9980,BRKRT,5,14,4,BRKRT_L
2024.07.19 10:45:00,2024.07.22 11:25:24,SELL,18197.98,18345.32,18050.64,18346.23,-1.0062,0.3336,0.9994,BRKRT,5,7,1,BRKRT_S
2024.07.22 12:15:00,2024.07.23 03:15:30,BUY,18381.23,18265.64,18496.82,18496.82,1.0000,0.9955,0.1164,BRKRT,1,9,1,BRKRT_L
2024.07.23 11:15:00,2024.07.23 13:50:29,BUY,18519.03,18405.45,18632.61,18633.58,1.0086,0.9997,0.0810,BRKRT,2,8,1,BRKRT_L
2024.07.25 10:45:00,2024.07.25 17:45:57,SELL,18146.38,18290.51,18002.25,18291.33,-1.0057,0.3230,0.9987,BRKRT,4,7,1,BRKRT_S
2024.07.26 18:45:00,2024.07.29 03:43:01,BUY,18430.23,18345.47,18514.99,18516.68,1.0199,0.9963,0.0761,BRKRT,5,15,4,BRKRT_L
2024.07.29 17:15:00,2024.07.30 16:45:03,SELL,18369.48,18478.62,18260.34,18478.83,-1.0019,0.8782,0.9927,BRKRT,1,14,4,BRKRT_S
2024.07.31 11:45:00,2024.08.01 09:54:31,BUY,18533.73,18416.52,18650.94,18416.28,-1.0021,0.4228,0.9935,BRKRT,3,8,1,BRKRT_L
2024.08.01 10:30:00,2024.08.01 11:02:19,SELL,18392.28,18493.48,18291.08,18290.73,1.0035,0.9936,0.0262,BRKRT,4,7,1,BRKRT_S
2024.08.01 17:45:00,2024.08.02 05:24:40,SELL,18115.78,18293.22,17938.34,17938.23,1.0006,0.9975,0.0082,BRKRT,4,14,4,BRKRT_S
2024.08.02 12:15:00,2024.08.02 15:34:32,SELL,17848.98,18026.33,17671.63,17671.63,1.0000,0.9999,0.0364,BRKRT,5,9,1,BRKRT_S
2024.08.07 17:45:00,2024.08.07 20:02:37,BUY,17648.53,17525.82,17771.24,17525.67,-1.0012,0.1593,0.9951,BRKRT,3,14,4,BRKRT_L
2024.08.08 17:30:00,2024.08.12 03:18:22,BUY,17638.73,17484.79,17792.67,17792.88,1.0014,0.9981,0.1952,BRKRT,4,14,4,BRKRT_L
2024.08.15 12:00:00,2024.08.15 15:30:34,BUY,17950.33,17880.19,18020.47,18021.10,1.0090,0.9958,0.6765,BRKRT,4,9,1,BRKRT_L
2024.08.15 16:45:00,2024.08.16 12:19:41,BUY,18179.33,18048.27,18310.39,18310.78,1.0030,0.9954,0.3086,BRKRT,4,13,4,BRKRT_L
2024.08.23 12:00:00,2024.08.23 17:12:38,BUY,18587.43,18505.58,18669.28,18669.98,1.0086,0.9963,0.2254,BRKRT,5,9,1,BRKRT_L
2024.08.27 11:45:00,2024.08.28 11:00:00,BUY,18704.78,18623.55,18786.01,18787.73,1.0212,0.9966,0.7700,BRKRT,2,8,1,BRKRT_L
2024.08.29 12:15:00,2024.09.02 10:30:02,BUY,18899.78,18795.54,19004.02,18795.23,-1.0029,0.7622,0.9742,BRKRT,4,9,1,BRKRT_L
2024.09.03 12:45:00,2024.09.03 17:00:36,SELL,18878.23,18977.21,18779.25,18779.24,1.0001,0.9963,0.2480,BRKRT,2,9,1,BRKRT_S
2024.09.03 18:00:00,2024.09.03 22:45:08,SELL,18754.23,18853.72,18654.74,18653.78,1.0097,0.9996,0.3573,BRKRT,2,15,4,BRKRT_S
2024.09.04 11:15:00,2024.09.06 10:11:24,SELL,18608.23,18721.24,18495.22,18493.58,1.0145,0.9879,0.7393,BRKRT,3,8,1,BRKRT_S
2024.09.06 11:45:01,2024.09.06 16:35:01,SELL,18446.03,18612.59,18279.47,18612.96,-1.0022,0.1048,0.9969,BRKRT,5,8,1,BRKRT_S
2024.09.06 18:30:00,2024.09.12 09:01:48,SELL,18294.73,18557.49,18031.97,18557.78,-1.0011,0.3518,0.9935,BRKRT,5,15,4,BRKRT_S
2024.09.12 11:45:01,2024.09.12 16:24:36,BUY,18566.78,18464.44,18669.12,18464.23,-1.0021,0.3660,0.9826,BRKRT,4,8,1,BRKRT_L
2024.09.13 12:15:00,2024.09.13 17:20:44,BUY,18613.18,18514.29,18712.07,18712.13,1.0007,0.9905,0.1977,BRKRT,5,9,1,BRKRT_L
2024.09.20 17:15:00,2024.09.23 13:40:48,SELL,18721.33,18831.12,18611.54,18831.78,-1.0061,0.2997,0.9969,BRKRT,5,14,4,BRKRT_S
2024.09.24 11:00:00,2024.09.25 08:37:44,BUY,18995.58,18889.32,19101.84,18887.48,-1.0173,0.3807,0.9796,BRKRT,2,8,1,BRKRT_L
2024.09.26 11:00:00,2024.09.26 18:40:23,BUY,19151.08,19033.06,19269.10,19269.21,1.0009,0.9977,0.3207,BRKRT,4,8,1,BRKRT_L
2024.09.27 12:30:00,2024.09.27 14:55:02,BUY,19348.08,19260.09,19436.07,19436.53,1.0052,0.9938,0.1199,BRKRT,5,9,1,BRKRT_L
2024.10.01 18:15:00,2024.10.14 10:16:40,SELL,19174.28,19443.89,18904.67,19444.65,-1.0028,0.9616,0.9993,BRKRT,2,15,4,BRKRT_S
2024.10.14 11:00:00,2024.10.14 11:34:50,BUY,19484.43,19403.87,19564.99,19402.98,-1.0110,0.0441,0.9986,BRKRT,1,8,1,BRKRT_L
2024.10.14 18:30:00,2024.10.15 05:02:39,BUY,19509.43,19435.09,19583.77,19583.98,1.0029,0.9760,0.1137,BRKRT,1,15,4,BRKRT_L
2024.10.15 10:45:00,2024.10.15 11:35:04,BUY,19627.73,19560.94,19694.52,19560.03,-1.0137,0.0981,0.9743,BRKRT,2,7,1,BRKRT_L
2024.10.16 12:45:00,2024.10.16 17:07:59,SELL,19416.63,19516.04,19317.22,19516.18,-1.0014,0.0649,0.9914,BRKRT,3,9,1,BRKRT_S
2024.10.24 11:30:00,2024.10.24 18:50:01,BUY,19532.28,19416.55,19648.01,19415.73,-1.0071,0.2199,0.9985,BRKRT,4,8,1,BRKRT_L
2024.10.28 11:45:00,2024.10.28 14:00:01,BUY,19561.48,19426.77,19696.19,19425.93,-1.0063,0.0850,0.9999,BRKRT,1,8,1,BRKRT_L
2024.10.29 11:15:00,2024.10.29 15:58:02,BUY,19622.48,19540.68,19704.28,19539.93,-1.0092,0.2989,0.9969,BRKRT,2,8,1,BRKRT_L
2024.10.29 18:15:00,2024.10.30 12:00:03,SELL,19488.93,19598.52,19379.34,19378.63,1.0065,0.9987,0.2058,BRKRT,2,15,4,BRKRT_S
2024.10.30 17:45:00,2024.10.31 05:20:23,SELL,19301.93,19408.11,19195.75,19195.33,1.0040,0.9851,0.2501,BRKRT,3,14,4,BRKRT_S
2024.10.31 10:30:00,2024.10.31 17:06:41,SELL,19146.08,19207.87,19084.29,19083.53,1.0124,0.9962,0.6709,BRKRT,4,7,1,BRKRT_S
2024.10.31 17:45:00,2024.11.01 12:23:20,SELL,19018.08,19161.62,18874.54,19162.03,-1.0029,0.0944,0.9980,BRKRT,4,14,4,BRKRT_S
